objectId,createdAt,updatedAt,ACL,file
oBetDsueIl,Wed Nov 24 2021 10:43:34 GMT+0100 (Central European Standard Time),Wed Nov 24 2021 10:43:34 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""f84bdb31f8db8466801f7368f18059c3_vent_her.JPG"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/f84bdb31f8db8466801f7368f18059c3_vent_her.JPG""}"
8DSdtpXhEG,Wed Nov 24 2021 10:44:23 GMT+0100 (Central European Standard Time),Wed Nov 24 2021 10:44:23 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""da200021feeca29612c6de0ad095ae86_kodfrie.JPG"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/da200021feeca29612c6de0ad095ae86_kodfrie.JPG""}"
6Wk3E7xTsZ,Wed Nov 24 2021 10:46:27 GMT+0100 (Central European Standard Time),Wed Nov 24 2021 10:46:27 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""dfc4118b1ec1138b44370cba34b0bad9_overflodig.JPG"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/dfc4118b1ec1138b44370cba34b0bad9_overflodig.JPG""}"
fKXrWJcu9L,Wed Nov 24 2021 10:47:25 GMT+0100 (Central European Standard Time),Wed Nov 24 2021 10:47:25 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""2b2057976bca1f3a79fa3b2082025163_okologi.JPG"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/2b2057976bca1f3a79fa3b2082025163_okologi.JPG""}"
G922MQz5BC,Wed Nov 24 2021 10:48:21 GMT+0100 (Central European Standard Time),Wed Nov 24 2021 10:48:21 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""ac29faf70ab9d1a12d30990bc834ec86_madspild.JPG"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/ac29faf70ab9d1a12d30990bc834ec86_madspild.JPG""}"
I2y3BBeLqD,Wed Nov 24 2021 10:49:27 GMT+0100 (Central European Standard Time),Wed Nov 24 2021 10:49:27 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""0d2ad8afe9afe4b494872735142bf90e_velfaerd.JPG"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/0d2ad8afe9afe4b494872735142bf90e_velfaerd.JPG""}"
kLKZ2AB0Kf,Wed Nov 24 2021 18:05:27 GMT+0100 (Central European Standard Time),Wed Nov 24 2021 18:05:27 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""905e09ebc7722c57ef97da5f1cc6edbf_undervurderet.JPG"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/905e09ebc7722c57ef97da5f1cc6edbf_undervurderet.JPG""}"
qnDiGsYnW5,Wed Nov 24 2021 22:33:08 GMT+0100 (Central European Standard Time),Wed Nov 24 2021 22:33:08 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""b08e171ddd75be3758d6f6c8da50e6ee_B0E2DD33-8FCB-4109-A75B-09C52BD7A6F7.jpeg"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/b08e171ddd75be3758d6f6c8da50e6ee_B0E2DD33-8FCB-4109-A75B-09C52BD7A6F7.jpeg""}"
JiTWZuZqJ1,Fri Nov 26 2021 09:38:26 GMT+0100 (Central European Standard Time),Fri Nov 26 2021 09:38:26 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""6378a1e5f82d0f34f3ce853688f21d86_boligoberne.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/6378a1e5f82d0f34f3ce853688f21d86_boligoberne.png""}"
bzMwik0YTu,Fri Nov 26 2021 12:12:16 GMT+0100 (Central European Standard Time),Fri Nov 26 2021 12:12:16 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""d574806d85834e4de59e7b2ae02e4036_Screenshot 2021-11-26 at 11.12.04.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/d574806d85834e4de59e7b2ae02e4036_Screenshot%202021-11-26%20at%2011.12.04.png""}"
